"Ranking; Pais; Viajeros_internacionales"
"1;Francia;89.400.000"
"2;Espanya;82.773.00"
"3;EEUU;79.618.000"
"4;China;62.900.000"
"5;Italia;62.146.000"
"6;Turquia;45.768.000"
"7;Mexico;41.447.000"
"8;Alemania;38.881.000"
"9;Tailandia;38.277.000"
"10;Reino_Unido;36.316.000"
"11;Japon;31.192.000"
"12;Austria;30.816.000"
"13;Grecia;30.123.000"
"14;Hong_Kong;29.263.000"
"15;Malasia;25.832.000"
"16;Rusia;24.551.000"
"17;Portugal;22.800.000"
"18;Canada;21.134.000"
"19;Polonia;19.623.000"
"20;Paises_bajos;19.014.000"
"21;Macao;18.493.000"
"22;India;17.427.000"
"23;Hungria;17.152.000"
"24;Croacia;16.645.000"
"25;Emir_Arabes_Unidos;15.920.000"
