Continent;Year;Tourists
Africa;2005;37.300.000
Middle_east;2005;39.000.000
Asia_Pacific;2005;155.400.000
Americas;2005;133.500.000
Europa;2005;441.500.000
Total;2005;806.700.000
Africa;2006;41.400.000
Middle_east;2006;41.400.000
Asia_Pacific;2006;166.800.000
Americas;2006;135.800.000
Europa;2006;462.100.000
Total;2006;847.500.000
Africa;2007;44.300.000
Middle_east;2007;47.400.000
Asia_Pacific;2007;184.200.000
Americas;2007;142.500.000
Europa;2007;484.900.000
Total;2007;903.300.000
Africa;2008;44.400.000
Middle_east;2008;55.200.000
Asia_Pacific;2008;184.100.000
Americas;2008;147.800.000
Europa;2008;485.200.000
Total;2008;916.700.000
Africa;2009;45.900.000
Middle_east;2009;52.800.000
Asia_Pacific;2009;181.100.000
Americas;2009;141.700.000
Europa;2009;461.700.000
Total;2009;883.200.000
Africa;2010;50.400.000
Middle_east;2010;55.400.000
Asia_Pacific;2010;205.500.000
Americas;2010;150.100.000
Europa;2010;489.400.000
Total;2010;950.800.000
Africa;2014; 55.200.000
Middle_east;2014;55.400.000
Asia_Pacific;2014;264.400.000
Americas;2014;181.900.000
Europa;2014;581.200.000
Total;2014;1.140.000.000
Africa;2015;53.800.000
Middle_east;2015;55.900.000
Asia_Pacific;2015;279.300.000
Americas;2015;192.700.000
Europa;2015;607.500.000
Total;2015;1.190.000.000
Africa;2016;58.200.000
Middle_east;2016;53.600.000
Asia_Pacific;2016;302.900.000
Americas;2016;200.900.000
Europa;2016;619.700.000
Total;2016;1.240.000.000
